Order ID,Order Date,Customer ID,Customer Name,Segment,Region,Category,Product Name,Quantity,Discount,Sales,Profit,Ship Mode
NC-00212,2023-02-10,CUST-0582,Anan Wongsa,Home Office,Northeastern,Fashion,Jeans,1,0.0,790.0,222.94,Standard
NC-01721,2023-02-10,CUST-0693,Decha Chaiyaporn,Consumer,Bangkok & Vicinity,Fashion,Jeans,2,0.0,1580.0,567.51,Standard
NC-01759,2023-02-10,CUST-0067,Surasak Kittisak,Consumer,Central,Beauty,Skincare Set,3,0.0,3570.0,1397.75,Standard
NC-00234,2023-02-11,CUST-0539,Decha Phromsri,Consumer,Northeastern,Beauty,Sunscreen,1,0.15,297.5,38.3,Standard
NC-00777,2023-02-11,CUST-0307,Chai Sukjai,Consumer,Bangkok & Vicinity,Electronics,Smart Watch,3,0.05,9946.5,2537.59,Express
NC-00830,2023-02-11,CUST-0029,Siri Wongsa,Corporate,Central,Beauty,Skincare Set,4,0.05,4522.0,1164.35,Express
NC-04153,2023-02-12,CUST-0714,Chai Phromsri,Consumer,Northern,Office Supplies,Printer Ink,2,0.0,1180.0,403.53,Standard
NC-01734,2023-02-12,CUST-0281,Wichai Chaiyaporn,Home Office,Bangkok & Vicinity,Electronics,Smartphone,1,0.15,7565.0,908.29,Standard
NC-03660,2023-02-12,CUST-0096,Nattaya Thongdee,Consumer,Bangkok & Vicinity,Electronics,Smartphone,2,0.0,17800.0,7201.92,Standard
NC-03125,2023-02-12,CUST-0335,Surasak Intharak,Consumer,Northern,Beauty,Makeup Kit,1,0.2,712.0,104.99,Standard
NC-01088,2023-02-13,CUST-0775,Orawan Saetang,Corporate,Northeastern,Office Supplies,Notebook Set,1,0.0,120.0,38.55,Standard
NC-00348,2023-02-13,CUST-0387,Ploy Sukjai,Consumer,Central,Office Supplies,Desk Organizer,1,0.0,290.0,107.78,Standard
NC-01654,2023-02-13,CUST-0149,Chai Chaiyaporn,Consumer,Central,Electronics,Power Bank,2,0.05,1311.0,515.79,Standard
NC-02499,2023-02-13,CUST-0152,Siri Intharak,Consumer,Northern,Beauty,Hair Dryer,1,0.0,690.0,258.6,Standard
NC-03773,2023-02-14,CUST-0362,Decha Saetang,Corporate,Northern,Office Supplies,Printer Ink,1,0.05,560.5,182.39,Express
NC-01903,2023-02-14,CUST-0919,Nattaya Wongsa,Corporate,Bangkok & Vicinity,Beauty,Perfume,1,0.0,1490.0,474.65,Express
NC-00374,2023-02-15,CUST-0088,Kanya Thongdee,Corporate,Bangkok & Vicinity,Office Supplies,Office Chair,1,0.0,2890.0,1176.81,Standard
NC-03095,2023-02-15,CUST-0619,Surasak Thongdee,Corporate,Southern,Beauty,Makeup Kit,2,0.2,1424.0,275.38,Standard
NC-01727,2023-02-16,CUST-0106,Theerapat Srisuk,Consumer,Bangkok & Vicinity,Office Supplies,Office Chair,1,0.05,2745.5,623.5,Standard
NC-01649,2023-02-16,CUST-0007,Suda Srisuk,Consumer,Northern,Fashion,Sunglasses,2,0.2,944.0,157.27,Standard
NC-00300,2023-02-16,CUST-0223,Theerapat Phromsri,Consumer,Central,Beauty,Perfume,1,0.0,1490.0,430.4,Standard
NC-00102,2023-02-16,CUST-0510,Pim Chaiyaporn,Corporate,Bangkok & Vicinity,Office Supplies,Office Chair,1,0.0,2890.0,841.45,Standard
NC-01385,2023-02-16,CUST-0105,Aom Boonmee,Home Office,Southern,Home & Living,Cookware Set,1,0.15,1606.5,509.67,Standard
NC-02449,2023-02-16,CUST-0292,Nattaya Intharak,Consumer,Northern,Fashion,T-Shirt,1,0.0,290.0,93.2,Express
NC-00571,2023-02-16,CUST-0018,Wichai Saetang,Consumer,Central,Office Supplies,Notebook Set,4,0.0,480.0,210.41,Standard
NC-00159,2023-02-17,CUST-0152,Siri Intharak,Consumer,Bangkok & Vicinity,Fashion,T-Shirt,1,0.0,290.0,102.92,Standard
NC-03606,2023-02-19,CUST-0152,Siri Intharak,Consumer,Bangkok & Vicinity,Beauty,Makeup Kit,1,0.0,890.0,367.12,Standard
NC-02315,2023-02-19,CUST-0923,Nopporn Boonmee,Home Office,Bangkok & Vicinity,Beauty,Makeup Kit,1,0.1,801.0,307.79,Standard
NC-03442,2023-02-19,CUST-0395,Orawan Kittisak,Consumer,Central,Fashion,Sneakers,2,0.0,3180.0,833.51,Express
NC-00702,2023-02-20,CUST-0239,Decha Chaiyaporn,Corporate,Northern,Office Supplies,Printer Ink,2,0.0,1180.0,349.33,Standard
NC-00999,2023-02-21,CUST-0675,Orawan Charoen,Consumer,Central,Office Supplies,Stapler,1,0.0,90.0,29.48,Express
NC-02956,2023-02-21,CUST-0103,Ploy Charoen,Consumer,Bangkok & Vicinity,Fashion,Sneakers,1,0.0,1590.0,437.51,Standard
NC-00422,2023-02-21,CUST-0519,Nopporn Charoen,Home Office,Southern,Beauty,Sunscreen,1,0.0,350.0,100.4,Standard
NC-03649,2023-02-21,CUST-0441,Krit Sukjai,Consumer,Northeastern,Fashion,Sunglasses,1,0.0,590.0,264.14,Same Day
NC-01130,2023-02-21,CUST-0913,Mali Charoen,Corporate,Southern,Office Supplies,Printer Ink,1,0.0,590.0,162.6,Standard
NC-03991,2023-02-22,CUST-0894,Nattaya Wongsa,Consumer,Bangkok & Vicinity,Fashion,Sneakers,3,0.0,4770.0,2127.11,Standard
NC-03871,2023-02-22,CUST-0089,Aom Srisuk,Home Office,Bangkok & Vicinity,Home & Living,Storage Box,2,0.0,630.0,136.22,Same Day
NC-00753,2023-02-22,CUST-0244,Theerapat Phromsri,Consumer,Bangkok & Vicinity,Electronics,Smartphone,1,0.0,8900.0,3335.16,Standard
NC-00341,2023-02-22,CUST-0635,Wichai Chaiyaporn,Consumer,Bangkok & Vicinity,Office Supplies,Office Chair,1,0.0,2890.0,985.87,Standard
NC-04089,2023-02-22,CUST-0185,Nopporn Intharak,Consumer,Southern,Home & Living,Cookware Set,1,0.15,1606.5,293.23,Standard
NC-01901,2023-02-22,CUST-0073,Theerapat Boonmee,Consumer,Northeastern,Office Supplies,Office Chair,1,0.0,2890.0,1007.27,Standard
NC-00337,2023-02-23,CUST-0294,Suda Ruangrit,Consumer,Bangkok & Vicinity,Electronics,Power Bank,1,0.0,690.0,174.25,Standard
NC-00428,2023-02-23,CUST-0816,Pim Phromsri,Consumer,Northeastern,Beauty,Skincare Set,1,0.0,1190.0,431.67,Express
NC-02617,2023-02-23,CUST-0599,Aom Charoen,Consumer,Bangkok & Vicinity,Beauty,Hair Dryer,1,0.05,655.5,177.79,Express
NC-03579,2023-02-24,CUST-0325,Surasak Charoen,Home Office,Northern,Home & Living,Air Purifier,1,0.0,4990.0,1826.29,Standard
NC-03048,2023-02-24,CUST-0782,Suda Sukjai,Consumer,Bangkok & Vicinity,Beauty,Makeup Kit,1,0.1,801.0,245.17,Standard
NC-01491,2023-02-25,CUST-0256,Mali Ruangrit,Corporate,Bangkok & Vicinity,Fashion,Sneakers,1,0.0,1590.0,690.09,Standard
NC-00880,2023-02-25,CUST-0321,Suda Wongsa,Consumer,Northeastern,Electronics,Smartphone,1,0.0,8900.0,3469.83,Standard
NC-04187,2023-02-26,CUST-0029,Siri Wongsa,Corporate,Southern,Office Supplies,Notebook Set,2,0.1,216.0,68.62,Standard
NC-02947,2023-02-26,CUST-0352,Nopporn Srisuk,Home Office,Southern,Beauty,Perfume,1,0.05,1415.5,489.41,Standard
NC-00942,2023-02-27,CUST-0382,Pim Phromsri,Corporate,Northeastern,Home & Living,Storage Box,1,0.0,350.0,124.52,Express
NC-03967,2023-02-27,CUST-0570,Ploy Charoen,Consumer,Bangkok & Vicinity,Fashion,Jeans,4,0.0,3160.0,1420.99,Express
NC-01992,2023-02-27,CUST-0056,Decha Intharak,Home Office,Northern,Beauty,Perfume,1,0.0,1490.0,433.25,Standard
NC-01492,2023-02-27,CUST-0831,Kanya Saetang,Consumer,Central,Home & Living,Desk Lamp,1,0.05,427.5,147.95,Same Day
NC-02262,2023-03-01,CUST-0118,Siri Kittisak,Consumer,Northeastern,Home & Living,Storage Box,2,0.0,700.0,199.8,Standard
NC-02750,2023-03-01,CUST-0006,Siri Phromsri,Consumer,Bangkok & Vicinity,Beauty,Perfume,1,0.05,1415.5,366.7,Standard
NC-02127,2023-03-02,CUST-0028,Boonmee Saetang,Consumer,Northeastern,Electronics,Laptop,1,0.0,18500.0,6282.99,Standard
NC-03249,2023-03-02,CUST-0278,Boonmee Saetang,Corporate,Central,Office Supplies,Notebook Set,1,0.2,96.0,25.97,Express
NC-03500,2023-03-02,CUST-0903,Krit Kittisak,Consumer,Bangkok & Vicinity,Electronics,Power Bank,1,0.0,690.0,212.91,Same Day
NC-03149,2023-03-03,CUST-0697,Somchai Chaiyaporn,Consumer,Northeastern,Beauty,Perfume,4,0.0,5960.0,1677.95,Express
NC-03440,2023-03-04,CUST-0146,Orawan Thongdee,Consumer,Bangkok & Vicinity,Electronics,Laptop,1,0.0,18500.0,6487.38,Standard
NC-02073,2023-03-04,CUST-0729,Nopporn Intharak,Consumer,Bangkok & Vicinity,Office Supplies,Office Chair,1,0.0,2890.0,746.0,Standard
NC-03666,2023-03-05,CUST-0650,Decha Kittisak,Consumer,Southern,Home & Living,Storage Box,2,0.0,700.0,187.29,Express
NC-03885,2023-03-05,CUST-0950,Mali Boonmee,Corporate,Bangkok & Vicinity,Beauty,Sunscreen,1,0.0,350.0,143.39,Standard
NC-02062,2023-03-05,CUST-0661,Krit Srisuk,Consumer,Bangkok & Vicinity,Home & Living,Bedding Set,1,0.0,1290.0,459.03,Express
NC-01612,2023-03-05,CUST-0532,Nopporn Srisuk,Home Office,Northern,Office Supplies,Desk Organizer,1,0.0,290.0,115.72,Standard
NC-00520,2023-03-05,CUST-0408,Napat Charoen,Consumer,Bangkok & Vicinity,Fashion,Backpack,1,0.0,990.0,249.87,Standard
NC-02432,2023-03-05,CUST-0909,Aom Charoen,Consumer,Northern,Home & Living,Desk Lamp,2,0.2,720.0,111.72,Express
NC-00852,2023-03-05,CUST-0922,Chai Saetang,Consumer,Bangkok & Vicinity,Electronics,Power Bank,1,0.05,655.5,139.93,Same Day
NC-02825,2023-03-06,CUST-0216,Pim Saetang,Consumer,Bangkok & Vicinity,Home & Living,Bedding Set,2,0.0,2580.0,688.7,Standard
NC-03032,2023-03-06,CUST-0875,Theerapat Boonmee,Consumer,Northeastern,Electronics,Headphones,2,0.0,2580.0,1040.34,Standard
NC-00952,2023-03-07,CUST-0030,Anan Srisuk,Consumer,Northeastern,Fashion,Backpack,1,0.0,990.0,413.54,Standard
NC-03146,2023-03-07,CUST-0010,Boonmee Srisuk,Corporate,Southern,Office Supplies,Desk Organizer,1,0.05,275.5,74.48,Standard
NC-01012,2023-03-07,CUST-0423,Mali Thongdee,Consumer,Southern,Office Supplies,Stapler,1,0.0,90.0,37.23,Standard
NC-00446,2023-03-08,CUST-0694,Krit Ruangrit,Consumer,Bangkok & Vicinity,Fashion,Jeans,1,0.0,790.0,328.95,Standard
NC-03564,2023-03-08,CUST-0322,Napat Phromsri,Corporate,Bangkok & Vicinity,Home & Living,Desk Lamp,1,0.2,360.0,50.08,Standard
NC-02133,2023-03-09,CUST-0764,Decha Srisuk,Corporate,Bangkok & Vicinity,Home & Living,Air Purifier,1,0.0,4990.0,1545.62,Standard
NC-00724,2023-03-09,CUST-0655,Nopporn Saetang,Consumer,Northern,Office Supplies,Notebook Set,1,0.0,120.0,43.03,Standard
NC-00848,2023-03-09,CUST-0494,Suda Phromsri,Consumer,Northeastern,Electronics,Headphones,1,0.0,1290.0,459.28,Standard
NC-02884,2023-03-09,CUST-0811,Somchai Charoen,Home Office,Northern,Electronics,Headphones,4,0.0,5160.0,2225.17,Standard
NC-01193,2023-03-09,CUST-0701,Nattaya Thongdee,Consumer,Southern,Beauty,Perfume,1,0.0,1490.0,637.06,Standard
NC-00078,2023-03-10,CUST-0068,Orawan Ruangrit,Corporate,Bangkok & Vicinity,Home & Living,Bedding Set,1,0.0,1290.0,542.74,Standard
NC-00127,2023-03-10,CUST-0293,Ploy Charoen,Corporate,Northeastern,Office Supplies,Notebook Set,1,0.05,114.0,39.54,Express
NC-00406,2023-03-10,CUST-0618,Mali Srisuk,Consumer,Northeastern,Fashion,Backpack,1,0.2,792.0,171.94,Express
NC-00467,2023-03-10,CUST-0313,Anan Chaiyaporn,Consumer,Bangkok & Vicinity,Electronics,Laptop,1,0.0,18500.0,5951.78,Express
NC-03815,2023-03-11,CUST-0356,Aom Wongsa,Corporate,Bangkok & Vicinity,Home & Living,Air Purifier,4,0.0,19960.0,6897.51,Express
NC-00008,2023-03-11,CUST-0362,Decha Saetang,Corporate,Northern,Fashion,Sunglasses,1,0.15,501.5,62.42,Same Day
NC-02214,2023-03-11,CUST-0373,Mali Sukjai,Consumer,Bangkok & Vicinity,Fashion,Sneakers,1,0.0,1590.0,582.92,Standard
NC-02567,2023-03-12,CUST-0822,Aom Phromsri,Consumer,Bangkok & Vicinity,Beauty,Hair Dryer,1,0.0,690.0,201.22,Standard
NC-03098,2023-03-12,CUST-0682,Orawan Boonmee,Consumer,Bangkok & Vicinity,Beauty,Hair Dryer,4,0.0,2760.0,743.3,Standard
NC-01099,2023-03-13,CUST-0567,Ploy Kittisak,Consumer,Bangkok & Vicinity,Office Supplies,Printer Ink,1,0.2,472.0,111.11,Express
NC-01583,2023-03-13,CUST-0326,Somchai Saetang,Corporate,Bangkok & Vicinity,Fashion,T-Shirt,1,0.0,290.0,119.02,Standard
NC-01212,2023-03-13,CUST-0705,Anan Charoen,Consumer,Bangkok & Vicinity,Home & Living,Bedding Set,1,0.0,1290.0,438.03,Standard
NC-00664,2023-03-13,CUST-0023,Suda Intharak,Consumer,Southern,Electronics,Laptop,1,0.05,17575.0,5761.88,Same Day
NC-01302,2023-03-14,CUST-0462,Napat Thongdee,Corporate,Bangkok & Vicinity,Fashion,Sunglasses,2,0.0,1180.0,395.01,Express
NC-01177,2023-03-14,CUST-0913,Mali Charoen,Corporate,Central,Office Supplies,Printer Ink,2,0.0,1180.0,379.03,Standard
NC-00868,2023-03-15,CUST-0267,Somchai Thongdee,Corporate,Northeastern,Office Supplies,Office Chair,1,0.0,2890.0,1138.58,Standard
NC-03081,2023-03-16,CUST-0924,Ploy Boonmee,Corporate,Northern,Beauty,Hair Dryer,1,0.15,586.5,181.04,Standard
NC-03875,2023-03-16,CUST-0364,Boonmee Intharak,Consumer,Southern,Fashion,Backpack,1,0.0,990.0,393.76,Express
NC-01592,2023-03-16,CUST-0238,Somchai Boonmee,Consumer,Central,Fashion,T-Shirt,1,0.05,275.5,75.95,Standard
NC-02359,2023-03-16,CUST-0529,Somchai Sukjai,Consumer,Bangkok & Vicinity,Fashion,Sunglasses,1,0.2,472.0,73.75,Express
NC-02414,2023-03-17,CUST-0570,Ploy Charoen,Consumer,Northern,Beauty,Skincare Set,1,0.05,1130.5,373.62,Standard
NC-01294,2023-03-17,CUST-0595,Nattaya Chaiyaporn,Home Office,Bangkok & Vicinity,Electronics,Headphones,1,0.0,1290.0,434.17,Express
NC-03001,2023-03-17,CUST-0304,Chai Charoen,Corporate,Bangkok & Vicinity,Fashion,Jeans,2,0.0,1580.0,607.75,Standard
NC-02048,2023-03-17,CUST-0922,Chai Saetang,Consumer,Northern,Home & Living,Bedding Set,1,0.0,1290.0,504.71,Same Day
NC-02069,2023-03-17,CUST-0496,Decha Srisuk,Consumer,Bangkok & Vicinity,Home & Living,Cookware Set,1,0.0,1890.0,500.82,Standard
NC-00181,2023-03-17,CUST-0044,Nopporn Wongsa,Home Office,Southern,Home & Living,Desk Lamp,1,0.0,450.0,197.27,Standard
NC-02619,2023-03-18,CUST-0844,Orawan Boonmee,Home Office,Bangkok & Vicinity,Fashion,Jeans,1,0.0,790.0,346.38,Express
NC-01073,2023-03-18,CUST-0172,Decha Phromsri,Consumer,Central,Office Supplies,Stapler,2,0.15,153.0,21.54,Standard
NC-01243,2023-03-18,CUST-0162,Aom Phromsri,Corporate,Bangkok & Vicinity,Electronics,Headphones,2,0.1,2322.0,617.66,Standard
NC-00745,2023-03-18,CUST-0609,Mali Sukjai,Consumer,Northeastern,Office Supplies,Desk Organizer,1,0.15,246.5,36.96,Standard
NC-02166,2023-03-18,CUST-0763,Boonmee Sukjai,Consumer,Central,Electronics,Laptop,1,0.0,18500.0,4705.82,Same Day
NC-00640,2023-03-18,CUST-0949,Mali Wongsa,Home Office,Southern,Beauty,Makeup Kit,1,0.0,890.0,337.0,Standard
NC-02070,2023-03-19,CUST-0789,Pim Saetang,Consumer,Southern,Electronics,Laptop,1,0.0,18500.0,4649.36,Express
NC-03514,2023-03-19,CUST-0056,Decha Intharak,Home Office,Bangkok & Vicinity,Home & Living,Bedding Set,1,0.0,1290.0,546.7,Same Day
NC-01426,2023-03-20,CUST-0302,Nopporn Charoen,Consumer,Northeastern,Office Supplies,Desk Organizer,1,0.0,290.0,99.04,Standard
NC-02049,2023-03-21,CUST-0636,Nopporn Saetang,Consumer,Bangkok & Vicinity,Home & Living,Desk Lamp,3,0.15,1147.5,148.73,Same Day
NC-00940,2023-03-21,CUST-0337,Krit Kittisak,Home Office,Central,Home & Living,Bedding Set,2,0.0,2580.0,774.19,Standard
NC-00252,2023-03-21,CUST-0484,Suda Chaiyaporn,Corporate,Northern,Electronics,Headphones,1,0.15,1096.5,222.82,Standard
NC-02900,2023-03-21,CUST-0210,Krit Phromsri,Consumer,Northeastern,Beauty,Skincare Set,1,0.0,1190.0,370.5,Standard
NC-02257,2023-03-21,CUST-0100,Wichai Intharak,Consumer,Northeastern,Beauty,Makeup Kit,2,0.2,1424.0,111.6,Standard
NC-00098,2023-03-22,CUST-0846,Mali Thongdee,Consumer,Northeastern,Electronics,Smartphone,1,0.1,8010.0,2830.07,Standard
NC-00205,2023-03-22,CUST-0292,Nattaya Intharak,Consumer,Bangkok & Vicinity,Beauty,Sunscreen,2,0.0,700.0,256.68,Standard
NC-02814,2023-03-23,CUST-0031,Aom Thongdee,Corporate,Central,Office Supplies,Notebook Set,3,0.0,360.0,110.73,Standard
NC-03241,2023-03-23,CUST-0150,Wichai Thongdee,Consumer,Northeastern,Fashion,Sneakers,1,0.0,1590.0,685.49,Standard
NC-02965,2023-03-23,CUST-0054,Aom Intharak,Home Office,Bangkok & Vicinity,Office Supplies,Notebook Set,2,0.0,240.0,80.19,Express
NC-00034,2023-03-24,CUST-0192,Nopporn Chaiyaporn,Home Office,Northern,Beauty,Hair Dryer,2,0.1,1242.0,472.07,Standard
NC-01015,2023-03-25,CUST-0206,Anan Intharak,Consumer,Central,Fashion,Sunglasses,2,0.0,1180.0,487.49,Standard
NC-02810,2023-03-25,CUST-0493,Anan Kittisak,Consumer,Northern,Home & Living,Bedding Set,1,0.0,1290.0,457.97,Standard
NC-02562,2023-03-25,CUST-0088,Kanya Thongdee,Corporate,Northern,Home & Living,Cookware Set,4,0.0,7560.0,2160.3,Standard
NC-02276,2023-03-25,CUST-0220,Nattaya Chaiyaporn,Corporate,Bangkok & Vicinity,Home & Living,Cookware Set,1,0.0,1890.0,567.53,Standard
NC-03110,2023-03-25,CUST-0240,Siri Thongdee,Consumer,Northeastern,Office Supplies,Desk Organizer,1,0.0,290.0,81.04,Express
NC-01831,2023-03-26,CUST-0798,Mali Wongsa,Corporate,Southern,Electronics,Smart Watch,1,0.05,3315.5,1162.26,Express
NC-04082,2023-03-27,CUST-0474,Aom Thongdee,Home Office,Northern,Electronics,Smart Watch,2,0.0,6980.0,1881.43,Standard
NC-01829,2023-03-27,CUST-0320,Orawan Phromsri,Consumer,Bangkok & Vicinity,Office Supplies,Notebook Set,1,0.0,96.0,22.48,Same Day
NC-02004,2023-03-27,CUST-0592,Napat Chaiyaporn,Corporate,Bangkok & Vicinity,Office Supplies,Printer Ink,2,0.2,944.0,280.83,Standard
NC-00913,2023-03-27,CUST-0719,Boonmee Chaiyaporn,Consumer,Northeastern,Fashion,Jeans,2,0.0,1580.0,484.86,Express
NC-03072,2023-03-28,CUST-0538,Mali Ruangrit,Consumer,Bangkok & Vicinity,Beauty,Makeup Kit,1,0.0,890.0,286.86,Standard
NC-00620,2023-03-28,CUST-0804,Krit Phromsri,Corporate,Northeastern,Home & Living,Air Purifier,1,0.0,4990.0,1581.85,Standard
NC-01598,2023-03-28,CUST-0198,Suda Boonmee,Home Office,Bangkok & Vicinity,Fashion,T-Shirt,1,0.0,290.0,113.48,Standard
NC-03923,2023-03-28,CUST-0267,Somchai Thongdee,Corporate,Central,Office Supplies,Desk Organizer,1,0.0,290.0,77.08,Standard
NC-02485,2023-03-29,CUST-0548,Decha Srisuk,Corporate,Bangkok & Vicinity,Electronics,Smartphone,1,0.0,8900.0,3467.74,Express
NC-02540,2023-03-29,CUST-0233,Theerapat Thongdee,Corporate,Northeastern,Electronics,Power Bank,4,0.0,2760.0,886.11,Express
NC-03297,2023-03-29,CUST-0412,Somchai Boonmee,Home Office,Bangkok & Vicinity,Home & Living,Desk Lamp,1,0.05,427.5,138.27,Express
NC-00053,2023-03-29,CUST-0620,Somchai Kittisak,Corporate,Central,Fashion,Backpack,1,0.15,841.5,160.47,Express
NC-00870,2023-03-30,CUST-0055,Nopporn Ruangrit,Corporate,Northeastern,Office Supplies,Stapler,1,0.1,81.0,18.32,Express
NC-01620,2023-03-30,CUST-0475,Mali Intharak,Consumer,Central,Beauty,Skincare Set,3,0.05,3391.5,1348.35,Standard
NC-03511,2023-03-30,CUST-0620,Somchai Kittisak,Corporate,Central,Electronics,Smart Watch,1,0.0,3490.0,1237.15,Standard
NC-03547,2023-03-30,CUST-0077,Decha Ruangrit,Corporate,Bangkok & Vicinity,Fashion,Sunglasses,2,0.0,1180.0,360.8,Express
NC-02944,2023-03-30,CUST-0213,Suda Saetang,Corporate,Bangkok & Vicinity,Office Supplies,Notebook Set,1,0.0,120.0,45.33,Standard
NC-00103,2023-03-30,CUST-0658,Orawan Intharak,Consumer,Central,Home & Living,Bedding Set,1,0.0,1290.0,424.8,Express
NC-01147,2023-03-31,CUST-0754,Wichai Chaiyaporn,Consumer,Southern,Beauty,Makeup Kit,4,0.1,3204.0,1025.45,Standard
NC-02713,2023-03-31,CUST-0488,Orawan Intharak,Consumer,Bangkok & Vicinity,Electronics,Smartphone,1,0.0,8900.0,3375.54,Express
NC-00248,2023-03-31,CUST-0261,Krit Wongsa,Corporate,Northeastern,Electronics,Laptop,1,0.0,18500.0,5841.72,Express
NC-01101,2023-04-01,CUST-0587,Nattaya Intharak,Consumer,Northern,Office Supplies,Desk Organizer,1,0.0,290.0,89.36,Express
NC-04184,2023-04-01,CUST-0683,Wichai Sukjai,Consumer,Bangkok & Vicinity,Home & Living,Storage Box,1,0.0,350.0,118.91,Standard
NC-03022,2023-04-02,CUST-0435,Kanya Chaiyaporn,Consumer,Central,Fashion,Sunglasses,2,0.0,1180.0,515.94,Express
NC-02078,2023-04-02,CUST-0379,Ploy Sukjai,Corporate,Southern,Fashion,Jeans,2,0.0,1580.0,554.18,Express
NC-02968,2023-04-02,CUST-0205,Somchai Boonmee,Corporate,Bangkok & Vicinity,Electronics,Smartphone,1,0.0,8900.0,3035.55,Standard
NC-00969,2023-04-02,CUST-0052,Orawan Chaiyaporn,Corporate,Bangkok & Vicinity,Office Supplies,Printer Ink,2,0.0,944.0,290.3,Express
NC-02755,2023-04-02,CUST-0169,Ploy Saetang,Consumer,Bangkok & Vicinity,Home & Living,Cookware Set,1,0.0,1890.0,580.97,Standard
NC-01512,2023-04-02,CUST-0443,Somchai Kittisak,Consumer,Southern,Home & Living,Bedding Set,1,0.05,1225.5,300.2,Standard
